Variety,Maturity,Irrig,Population.A,Population.ha,Block,Yield.BuA,Yield.tonha
1,92,Full,23000,56810,1,202,12.68
1,92,Full,23000,56810,2,163,10.23
1,92,Full,23000,56810,3,186,11.68
1,92,Full,23000,56810,4,178,11.17
2,86,Full,23000,56810,1,177,11.11
2,86,Full,23000,56810,2,176,11.05
2,86,Full,23000,56810,3,179,11.24
2,86,Full,23000,56810,4,168,10.55
3,84,Full,23000,56810,1,172,10.8
3,84,Full,23000,56810,2,150,9.42
3,84,Full,23000,56810,3,149,9.35
3,84,Full,23000,56810,4,147,9.23
4,80,Full,23000,56810,1,170,10.67
4,80,Full,23000,56810,2,172,10.8
4,80,Full,23000,56810,3,178,11.17
4,80,Full,23000,56810,4,172,10.8
5,76,Full,23000,56810,1,170,10.67
5,76,Full,23000,56810,2,165,10.36
5,76,Full,23000,56810,3,163,10.23
5,76,Full,23000,56810,4,175,10.98
6,88,Full,23000,56810,1,168,10.55
6,88,Full,23000,56810,2,165,10.36
6,88,Full,23000,56810,3,167,10.48
6,88,Full,23000,56810,4,196,12.3
1,92,Full,33000,81510,1,199,12.49
1,92,Full,33000,81510,2,191,11.99
1,92,Full,33000,81510,3,189,11.86
1,92,Full,33000,81510,4,190,11.93
2,86,Full,33000,81510,1,205,12.87
2,86,Full,33000,81510,2,197,12.37
2,86,Full,33000,81510,3,197,12.37
2,86,Full,33000,81510,4,197,12.37
3,84,Full,33000,81510,1,182,11.42
3,84,Full,33000,81510,2,164,10.29
3,84,Full,33000,81510,3,188,11.8
3,84,Full,33000,81510,4,186,11.68
4,80,Full,33000,81510,1,182,11.42
4,80,Full,33000,81510,2,191,11.99
4,80,Full,33000,81510,3,203,12.74
4,80,Full,33000,81510,4,189,11.86
5,76,Full,33000,81510,1,183,11.49
5,76,Full,33000,81510,2,194,12.18
5,76,Full,33000,81510,3,186,11.68
5,76,Full,33000,81510,4,174,10.92
6,88,Full,33000,81510,1,192,12.05
6,88,Full,33000,81510,2,198,12.43
6,88,Full,33000,81510,3,205,12.87
6,88,Full,33000,81510,4,206,12.93
1,92,Limited,23000,56810,1,154,9.67
1,92,Limited,23000,56810,2,148,9.29
1,92,Limited,23000,56810,3,163,10.23
1,92,Limited,23000,56810,4,166,10.42
2,86,Limited,23000,56810,1,153,9.6
2,86,Limited,23000,56810,2,156,9.79
2,86,Limited,23000,56810,3,157,9.85
2,86,Limited,23000,56810,4,164,10.29
3,84,Limited,23000,56810,1,130,8.16
3,84,Limited,23000,56810,2,123,7.72
3,84,Limited,23000,56810,3,134,8.41
3,84,Limited,23000,56810,4,149,9.35
4,80,Limited,23000,56810,1,152,9.54
4,80,Limited,23000,56810,2,148,9.29
4,80,Limited,23000,56810,3,163,10.23
4,80,Limited,23000,56810,4,161,10.11
5,76,Limited,23000,56810,1,118,7.41
5,76,Limited,23000,56810,2,117,7.34
5,76,Limited,23000,56810,3,143,8.98
5,76,Limited,23000,56810,4,133,8.35
6,88,Limited,23000,56810,1,155,9.73
6,88,Limited,23000,56810,2,132,8.29
6,88,Limited,23000,56810,3,156,9.79
6,88,Limited,23000,56810,4,161,10.11
1,92,Limited,33000,81510,1,180,11.3
1,92,Limited,33000,81510,2,193,12.11
1,92,Limited,33000,81510,3,194,12.18
1,92,Limited,33000,81510,4,199,12.49
2,86,Limited,33000,81510,1,185,11.61
2,86,Limited,33000,81510,2,187,11.74
2,86,Limited,33000,81510,3,201,12.62
2,86,Limited,33000,81510,4,198,12.43
3,84,Limited,33000,81510,1,178,11.17
3,84,Limited,33000,81510,2,172,10.8
3,84,Limited,33000,81510,3,181,11.36
3,84,Limited,33000,81510,4,134,8.41
4,80,Limited,33000,81510,1,161,10.11
4,80,Limited,33000,81510,2,159,9.98
4,80,Limited,33000,81510,3,195,12.24
4,80,Limited,33000,81510,4,184,11.55
5,76,Limited,33000,81510,1,162,10.17
5,76,Limited,33000,81510,2,150,9.42
5,76,Limited,33000,81510,3,162,10.17
5,76,Limited,33000,81510,4,176,11.05
6,88,Limited,33000,81510,1,171,10.73
6,88,Limited,33000,81510,2,185,11.61
6,88,Limited,33000,81510,3,195,12.24
6,88,Limited,33000,81510,4,199,12.49
