Replicate,Duration,Year,Yield_Mg.ha,Yield.loss.pct
1,36,2006,67.26,98.05
1,50,2006,60.34,87.96
1,64,2006,53.69,78.27
1,78,2006,52.54,76.59
1,92,2006,53.8,78.43
1,106,2006,60.69,88.47
1,0,2006,67.07,97.77
2,106,2006,33.01,48.12
2,92,2006,39.03,56.9
2,78,2006,49.47,72.11
2,64,2006,53.48,77.96
2,50,2006,58.55,85.35
2,36,2006,63.64,92.77
2,0,2006,70.81,103.22
3,64,2006,69.7,101.6
3,36,2006,65.58,95.6
3,106,2006,55.47,80.86
3,50,2006,67,97.67
3,92,2006,53.5,77.99
3,78,2006,64.69,94.3
3,0,2006,71.38,104.05
4,50,2006,67.79,98.82
4,78,2006,73.32,106.88
4,92,2006,61.4,89.5
4,36,2006,62.48,91.08
4,106,2006,44.74,65.22
4,64,2006,56.02,81.66
4,0,2006,65.12,94.93
1,133,2006,40.83,59.52
2,133,2006,40.03,58.35
3,133,2006,34.05,49.64
4,133,2006,50.94,74.26
1,36,2007,47.88,77
1,50,2007,49.21,79.14
1,64,2007,43.89,70.59
1,78,2007,49.21,79.14
1,92,2007,33.25,53.47
1,106,2007,29.26,47.06
2,78,2007,49.21,79.14
2,50,2007,54.53,87.7
2,106,2007,34.58,55.61
2,36,2007,73.15,117.64
2,64,2007,39.9,64.17
2,92,2007,34.58,55.61
3,92,2007,45.22,72.72
3,106,2007,49.21,79.14
3,36,2007,57.19,91.97
3,78,2007,53.2,85.56
3,50,2007,50.54,81.28
3,64,2007,65.17,104.81
4,78,2007,39.9,64.17
4,92,2007,43.89,70.59
4,64,2007,65.17,104.81
4,106,2007,31.92,51.33
4,36,2007,49.21,79.14
4,50,2007,65.17,104.81
1,0,2007,65.17,104.81
2,0,2007,62.51,100.53
3,0,2007,55.86,89.84
4,0,2007,65.17,104.81
1,133,2007,35.91,57.75
2,133,2007,37.24,59.89
3,133,2007,45.22,72.72
4,133,2007,34.58,55.61
