"xn","Dose","Accesion","Dry.weight.per.pot","X"
"33",0,"SAM-E-8",1.968,NA
"34",0,"SAM-E-8",2.03,NA
"35",0,"SAM-E-8",2.129,NA
"36",0,"SAM-E-8",2.45,NA
"37",5.25,"SAM-E-8",2.336,NA
"38",5.25,"SAM-E-8",2.54,NA
"39",5.25,"SAM-E-8",2.37,NA
"40",5.25,"SAM-E-8",1.907,NA
"41",10.5,"SAM-E-8",2.01,NA
"42",10.5,"SAM-E-8",1.988,NA
"43",10.5,"SAM-E-8",1.605,NA
"44",10.5,"SAM-E-8",1.727,NA
"45",21,"SAM-E-8",1.153,NA
"46",21,"SAM-E-8",1.526,NA
"47",21,"SAM-E-8",1.008,NA
"48",21,"SAM-E-8",1.229,NA
"49",42,"SAM-E-8",0.804,NA
"50",42,"SAM-E-8",0.808,NA
"51",42,"SAM-E-8",0.71,NA
"52",42,"SAM-E-8",0.618,NA
"53",84,"SAM-E-8",0.428,NA
"54",84,"SAM-E-8",0.408,NA
"55",84,"SAM-E-8",0.31,NA
"56",84,"SAM-E-8",0.214,NA
"57",166,"SAM-E-8",0.295,NA
"58",166,"SAM-E-8",0.206,NA
"59",166,"SAM-E-8",0.22,NA
"60",166,"SAM-E-8",0.19,NA
"61",336,"SAM-E-8",0.136,NA
"62",336,"SAM-E-8",0.98,NA
"63",336,"SAM-E-8",0,NA
"64",336,"SAM-E-8",0,NA
"4289",0,"TEK-E-10",1.798,NA
"4290",0,"TEK-E-10",1.912,NA
"4291",0,"TEK-E-10",1.681,NA
"4292",0,"TEK-E-10",1.931,NA
"4293",5.25,"TEK-E-10",0.02,NA
"4294",5.25,"TEK-E-10",0.739,NA
"4295",5.25,"TEK-E-10",0.699,NA
"4296",5.25,"TEK-E-10",0.608,NA
"4297",10.5,"TEK-E-10",0.51,NA
"4298",10.5,"TEK-E-10",0.649,NA
"4299",10.5,"TEK-E-10",0.697,NA
"4300",10.5,"TEK-E-10",0.594,NA
"4301",21,"TEK-E-10",0.165,NA
"4302",21,"TEK-E-10",0.073,NA
"4303",21,"TEK-E-10",0.079,NA
"4304",21,"TEK-E-10",0.119,NA
"4305",42,"TEK-E-10",0,NA
"4306",42,"TEK-E-10",0,NA
"4307",42,"TEK-E-10",0,NA
"4308",42,"TEK-E-10",0.051,NA
"4309",84,"TEK-E-10",0,NA
"4310",84,"TEK-E-10",0,NA
"4311",84,"TEK-E-10",0,NA
"4312",84,"TEK-E-10",0.158,NA
"4313",166,"TEK-E-10",0,NA
"4314",166,"TEK-E-10",0,NA
"4315",166,"TEK-E-10",0,NA
"4316",166,"TEK-E-10",0,NA
"4317",336,"TEK-E-10",0,NA
"4318",336,"TEK-E-10",0,NA
"4319",336,"TEK-E-10",0,NA
"4320",336,"TEK-E-10",0,NA
